Item Item DOI,question_text
10.21019/qna-636015,Convert 50 ppb to microgram per mL.
10.21019/qna-636016,Rx Amoxicillin tabs 350 mg Disp ____ tabs Sig: tab for 10 mg/kg/dose BIDx 7 d Calculate the number of tablets to dispense to a patient weighing 154 lb. (Answer must be numeric; round the final answer to the nearest WHOLE number.)
10.21019/qna-636017,"Calculate the dose, in mg, for a child 4 years of age, 39 inches in height, and 32 lb in weight for a drug with an adult dose (average adult BSA 1.73 m2) of 100 mg. Use the BSA equation."
10.21019/qna-636019,"How many milliequivalents of Na+ would be contained in 100 mL of the following solution? Sodium chloride 8 g, Sodium sulfate 8 g, Purified water qs ad 100 mL; NaCl MW 58.5; Na2SO4 MW 142. (Answer must be numeric; round the final answer to the nearest WHOLE number.)"
10.21019/qna-636021,"How much base, in grams, should be added to 30 g of 30% ointment to prepare 15% ointment? (Answer must be numeric; round the final answer to the nearest WHOLE number.)"
10.21019/qna-636022,"How many grams of drug X should be added to 5,000 g of 12% drug X ointment to prepare an ointment containing 32% of drug X?"
10.21019/qna-636023,How many milliliters of a syrup containing 85% w/v of sucrose should be mixed with 150 mL of another syrup containing 60% w/v of sucrose to make a new syrup that contains 80% w/v of sucrose? (Answer must be numeric; round the final answer to the nearest WHOLE number.)
10.21019/qna-636024,"Determine the amount of lactose, in mg, needed to prepare the following prescription: Rx Drug B 60 mg Lactose qs M.ft. caps # 25 If you select size 1 capsules, a capsule filled with drug B weighs 630 mg, and the same capsule filled with lactose weighs 320 mg."
10.21019/qna-636025,"The label for a dry powder package of drug X oral suspension directs the pharmacist to add 68 mL purified water to prepare the suspension. If the package contains 5 g of drug X, calculate the volume, in mL, of the dry powder in the product to make a dose of 250 mg/teaspoonful. (Answer must be numeric; round the final answer to the nearest WHOLE number.)"
10.21019/qna-636026,"When 18 mL of water for injection were added to lyophilized drug powder, the resulting concentration was 250,000 units/mL. What is the volume, in mL, of the dry powder if the drug amount in the vial was 5,000,000 units? (Answer must be numeric; round the final answer to the nearest WHOLE number.)"
10.21019/qna-636028,What is the final percent concentration obtained by mixing 200 mL of 20% dextrose with 100 mL of 5% dextrose? (Answer must be numeric; round the final answer to the nearest WHOLE number.)
10.21019/qna-636029,"What weight of sodium chloride, in mg, should be used in compounding the following prescription for ephedrine sulfate (MW 429, dissociation factor = 2.6, sodium chloride equivalent = 0.23)? Rx Ephedrine sulfate 0.25 g Sodium chloride qs Purified water q. ad 30 mL Make isoton. sol."
10.21019/qna-636030,"Fifteen milliliters of 15% calcium gluconate injection and 10 mL of multivitamin injection are mixed separately with 500 mL of D5W IV infusion. The infusion is to be administered over 5 hours. If a standard set is used that delivers 15 drops/mL, what rate, in drops per minute, should the flow rate be? (Answer must be numeric; round the final answer to the nearest WHOLE number.)"
10.21019/qna-636031,"The official formula for potassium iodide oral solution states that 1,000 mL of the solution contains 1,000 g of potassium iodide. When you weigh 35 mL of the official solution, you find it weighs 59.5 g. What is the w/v% of potassium iodide in the official solution? (Answer must be numeric; round the final answer to the nearest WHOLE number.)"
10.21019/qna-636035,Your class III prescription balance has a minimum weighable quantity of 80 mg. What is the sensitivity requirement of this balance? (Answer must be numeric; round the final answer to the nearest WHOLE number.)
10.21019/qna-636036,A class III prescription balance must have a sensitivity of ______ mg or less.
10.21019/qna-636037,You need to prepare 100 mL of a saturated solution of boric acid. You look up the solubility and find 1 g of boric acid dissolves in 18 mL of water. Can you calculate the quantities of boric acid and purified water you will need to prepare exactly 100 mL of saturated boric acid solution?
10.21019/qna-636038,"If the sensitivity of your balance is 4 mg and you weigh 128 mg on this balance, what is your percentage of error in weighing?"
10.21019/qna-636039,You need 85 grains of magnesium oxide. How many grams of magnesium oxide will you weigh out to equal the 85 grains?
10.21019/qna-636040,"Your prescription requires 85 g of a liquid component that you prefer to measure rather than weigh. If the liquid has a specific gravity of 0.85, how many milliliters would you measure out? (Answer must be numeric; round the final answer to the nearest WHOLE number.)"
10.21019/qna-636041,"You have 1 g of a new drug (the active pharmaceutical ingredient, or API) that has just been synthesized. You want to make a stock dilution of the drug for use in compounding it into a dosage form that requires 40 mg of the drug. What is the smallest quantity of the drug and lactose, the diluent, you will weigh out, if the sensitivity of your balance is 4 mg?"
10.21019/qna-636042,"Many factors, elements, and conditions go into creating a compounding service that produces compounds of the highest quality. Which of the following elements would be considered the most important?"
10.21019/qna-636043,Which of the following entities regulates the practice of compounding?
10.21019/qna-636044,"You need to prepare 60 mL of an isotonic solution of potassium chloride (KCl). The molecular weight of KCl is 74.55, 1 gram dissolves in 2.8 mL of water, and the sodium chloride equivalent is 0.76. How much KCl will you weigh out? (Answer must be numeric; round the final answer to the nearest WHOLE number.)"
10.21019/qna-636045,Twenty-five hundred milligrams is equal to how many grams?
10.21019/qna-636046,Your transdermal gel needs to contain 4 mg of the API in 0.2 mL of gel. How many milligrams of API will you weigh out to prepare 10 mL of this transdermal gel? (Answer must be numeric; round the final answer to the nearest WHOLE number.)
10.21019/qna-636047,"You need to make 100 capsules, each of which contains ½ grain of the API. The only API you have on hand is a 1:10 stock dilution of the API. How much of the stock dilution will you weigh out to obtain the quantity of API you need? (Answer must be numeric; round the final answer to the nearest WHOLE number.)"
10.21019/qna-636048,"You want your liquid preparation to contain 0.5% potassium sorbate as a preservative. How many grams will you include in your preparation, which will measure a total of 120 mL?"
10.21019/qna-636049,You have a solution containing 30.8 mOsm of sodium chloride in 100 mL of solution. How much sodium chloride is contained in this solution? The molecular weight of sodium chloride is 58.5.
10.21019/qna-636050,"You need to prepare 100 mL of a 1 normal solution of potassium hydroxide (KOH). How much KOH will you weigh out? Atomic weights: H = 1, K = 39, O = 16."
10.21019/qna-636051,Instruments that are designed and made to be used to accurately measure liquids are which of the following? (Select ALL that apply)
10.21019/qna-636052,Which chapter in the United States Pharmacopeia provides compounders with guidance on applying good compounding practices for the preparation of nonsterile compounded formulations?
10.21019/qna-636053,"When preparing a certain cream, you are directed to warm the components to 70ºC. What is the corresponding temperature on the Fahrenheit scale? (Answer must be numeric; round the final answer to the nearest WHOLE number.)"
10.21019/qna-636054,"If 10 g of solute is dissolved in enough purified water to produce 100 mL of solution, you have produced what percentage w/v solution? (Answer must be numeric; round the final answer to the nearest WHOLE number.)"
10.21019/qna-636055,You have a pound of coal tar 1% ointment. You want to make it 2% coal tar. How many grams of coal tar will you add to it?
10.21019/qna-636056,Which of the following statements are true about sources of data for statistical analysis? (Select ALL that apply.)
10.21019/qna-636057,Which of the following statements are true about population and samples? (Select ALL that apply.)
10.21019/qna-636058,Which of the following statements are true? (Select ALL that apply.)
10.21019/qna-636059,Which of the following are true? (Select ALL that apply.)
10.21019/qna-636060,Which of the following are true about central tendency? (Select ALL that apply.)
10.21019/qna-636061,Which of the following are measures of dispersion that take into account all values in a dataset? (Select ALL that apply.)
10.21019/qna-636062,Which of the following statements are true about descriptive statistics? (Select ALL that apply.)
10.21019/qna-636063,Which one of the following statements are true about variance? (Select ALL that apply.)
10.21019/qna-636064,Which of the following can be used to evaluate a screening test? (Select ALL that apply.)
10.21019/qna-636065,Which of the following statements are true about screening tests? (Select ALL that apply.)
10.21019/qna-636066,"In the context of a confidence error, which of the following is margin of error?"
10.21019/qna-636067,Which one of the following is a common confidence interval that can be calculated in estimation? (Select ALL that apply.)
10.21019/qna-636068,"In a study of patients' punctuality for their appointments, a sample of 35 patients was found to be on average 17.2 minutes late for their appointments with a standard deviation of 8 minutes. The 95% confidence interval for the population mean is"
10.21019/qna-636069,"Among a sample of 1,000 individuals, 15% exercise at least twice a week. The 90% confidence interval for the population proportion is"
10.21019/qna-636070,Which one of the following is typically designated as H0?
10.21019/qna-636071,Which one of the following is the definition of statistical power?
10.21019/qna-636072,Which one of the following statements are true about hypothesis testing? (Select ALL that apply.)
10.21019/qna-636073,Which one of the following statements are true about hypothesis testing? (Select ALL that apply.)
10.21019/qna-636074,Which one of the following statements are true about regression and correlation? (Select ALL that apply.)
10.21019/qna-636075,Which one of the following are possible values of the coefficient of determination? (Select ALL that apply.)
10.21019/qna-636076,Which one of the following are possible values of the correlation coefficient? (Select ALL that apply.)
10.21019/qna-636077,Which of the following is the situation for a perfect linear correlation?
10.21019/qna-636078,Which of the following is the situation for a perfect inverse linear correlation?
10.21019/qna-636079,Which of the following are situations when two variables are linearly correlated? (Select ALL that apply.)
10.21019/qna-636080,Which of the following statements are true about the chi-square test? (Select ALL that apply.)
10.21019/qna-636081,Which of the following is potential complication related to hypertension?
10.21019/qna-636082,Which of the following antihypertensive classes are appropriate in heart failure?
10.21019/qna-636083,The onset of action of sodium nitroprusside is which of the following?
10.21019/qna-636084,Which of the following statements describes the mechanism of action of clonidine?
10.21019/qna-636085,Which of the following occurrences lead to proper blood pressure measurement?
10.21019/qna-636087,"A 64-year-old male comes to your pharmacy stating he checked his blood pressure on a friend’s machine and it was “really high.” He asks you to recommend any medication that he should be taking. You measure his blood pressure, and the average of two readings is 168/92. His past medical history includes anxiety and osteoarthritis. Current medications include ibuprofen 600 mg every 8 hours as needed, lorazepam 0.5 mg at bedtime, and an over-the-counter multivitamin daily. This patient’s blood pressure goal is"
10.21019/qna-636088,"A 64-year-old patient comes to your pharmacy stating they checked his blood pressure on a friend's machine and it was ""really high."" They ask you to recommend any medication that he should be taking. You measure their blood pressure, and the average of two readings is 168/92. Past medical history includes anxiety and osteoarthritis. Current medications include ibuprofen 600 mg every 8 hours as needed, lorazepam 0.5 mg at bedtime, sertraline 100 mg daily, and an over-the-counter multivitamin daily. Which of his current medications is most likely to be contributing to his increased blood pressure?"
10.21019/qna-636089,"A 64-year-old patient comes to your pharmacy stating they checked his blood pressure on a friend's machine and it was ""really high."" They ask you to recommend any medication that he should be taking. You measure their blood pressure, and the average of two readings is 168/92. Past medical history includes anxiety and osteoarthritis. Current medications include ibuprofen 600 mg every 8 hours as needed, lorazepam 0.5 mg at bedtime, and an over-the-counter multivitamin daily. Which of the following would you recommend for initial therapy for this patient?"
10.21019/qna-636090,Which of the following conditions is a common side effect of aliskiren?
10.21019/qna-636091,Which of the following medications would be best to recommend for a patient with a GFR (glomerular filtration rate) of 25 mL/min?
10.21019/qna-636092,Which of the following combinations would be recommended for a hypertensive emergency with a myocardial infarction?
10.21019/qna-636093,Which of the following medications is classified as a thiazide-like diuretic?
10.21019/qna-636094,Which of the following medications is most likely to be associated with lower-extremity edema?
10.21019/qna-636095,Which of the following statements describes the mechanism of action of aliskiren?
10.21019/qna-636096,In which of the following situations should lisinopril be avoided?
10.21019/qna-636097,Which of the following medication classes could potentially have unfavorable effects on dyslipidemia?
10.21019/qna-636099,The onset of action for oral clonidine is which of the following?
10.21019/qna-636100,Which of the following combination drugs contains three antihypertensive agents?
10.21019/qna-636101,Which of the following disease states is matched with an appropriate initial choice for management of hypertension?
10.21019/qna-636102,Which of the following medications would be a potential drug–drug interaction with a thiazide diuretic? (Select ALL that apply.)
10.21019/qna-636103,Which of the following medications is an example of alpha-blocker with high lipid solubility?
10.21019/qna-636104,Which of the following conditions is a side effect of nifedipine?
10.21019/qna-636106,Patients with NYHA Class II-IV heart failure with reduced EF <5% should routinely receive which of the following medications?
10.21019/qna-636107,Valsartan benefits patients with heart failure by which of the following mechanisms?
10.21019/qna-636108,Which of the following should be monitored in patients receiving digoxin therapy for the treatment of heart failure?
10.21019/qna-636109,Patients taking fosinopril for heart failure should avoid taking which of the following?
10.21019/qna-636110,Which of the following statements accurately describes the clinical effect of digoxin in patients with heart failure?
10.21019/qna-636111,Which of the following medications can cause or worsen heart failure?
10.21019/qna-636112,Hypokalemia is an adverse effect associated with which of the following medications?
10.21019/qna-636113,Which of the following medications should be taken with food?
10.21019/qna-636114,A patient develops an ACE inhibitor-associated cough and needs to be switched to an alternative RAAS inhibitor. To which of the following agents should they be switched?
10.21019/qna-636115,A male patient treated with digoxin for heart failure has a serum digoxin concentration of 0.8 ng/mL. His primary care physician now initiates clarithromycin therapy for suspected community acquired pneumonia. Which of the following is correct about the digoxin–clarithromycin interaction?
10.21019/qna-636116,A patient with heart failure develops renal insufficiency after treatment with lisinopril. Which alternative medication should be used in this patient to improve survival?
10.21019/qna-636117,Which of the following is an adverse effect of carvedilol?
10.21019/qna-636118,Which statement accurately describes the pharmacologic action and clinical use of dobutamine in heart failure management?
10.21019/qna-636119,Which of the following medications requires dose adjustment in patients with renal insufficiency?
10.21019/qna-636120,Which of the following statements is true about carvedilol therapy for heart failure?
10.21019/qna-636121,Which of the following medications should be avoided during the second and third trimesters of pregnancy?
10.21019/qna-636122,Which of the following should be monitored after administration of torsemide in patients with heart failure?
10.21019/qna-636123,Which statement accurately describes guideline-based recommendations for initiating and managing beta-blocker therapy in patients with heart failure?
10.21019/qna-636124,Which of the following is a risk factor for eplerenone-induced hyperkalemia?
10.21019/qna-636125,Which medication is recommended as the initial treatment for a patient presenting with warm and wet acute decompensated heart failure (ADHF)?
10.21019/qna-636126,"Patient Profile 1 Problem List: Myocardial infarction, 2020 Hypertension Heart failure Hyperlipidemia Type 2 diabetes Laboratory and diagnostic tests Echocardiogram in 12/20 showed LVEF 30% Blood pressure on 4/1/21: 145/75 mm Hg Heart rate on 4/1/21: 85 bpm Serum potassium: 3.1 mEq/L Serum creatinine: 1.1 mg/dL Serum digoxin concentration: 0.9 ng/mL Which of the following medications should be added to Mr. Jones’s regimen?"
10.21019/qna-636127,"Patient Profile 1 Problem List: Myocardial infarction, 2020 Hypertension Heart failure Hyperlipidemia Type 2 diabetes Laboratory and diagnostic tests Echocardiogram in 12/20 showed LVEF 30% Blood pressure on 4/1/21: 145/75 mm Hg Heart rate on 4/1/21: 85 bpm Serum potassium: 3.1 mEq/L Serum creatinine: 1.1 mg/dL Serum digoxin concentration: 0.9 ng/mL Mr. Jones’s serum potassium level of 3.1 mEq/L (normal 4.0–5.0 mEq/L) could be caused by which of the following?"
10.21019/qna-636128,Which of the following is a sign or symptom of heart failure?
10.21019/qna-636129,Gynecomastia is an adverse effect of which of the following medications?
10.21019/qna-636130,Which of the following is an adverse effect of loop diuretics?
10.21019/qna-636131,Which of the following are adverse effects of amiodarone? (Select ALL that apply.)
10.21019/qna-636132,Which of the following antiarrhythmic agents primarily blocks the calcium ion transporter?
10.21019/qna-636133,Which of the following medications can cause prolongation of the corrected QT interval and increase the risk of torsades de pointes?
10.21019/qna-636134,Which of the following best describes second-degree atrioventricular heart block?
10.21019/qna-636135,"A 67-year-old male with nonvalvular atrial fibrillation, hypertension, and diabetes should receive which of the following medications to reduce his long-term risk of stroke?"
10.21019/qna-636136,Which of the following monitoring parameters should be assessed in a patient who is receiving amiodarone?
10.21019/qna-636138,Which of the following statements is true about dabigatran?
10.21019/qna-636139,Which of the following medications can be used to maintain sinus rhythm in a patient with atrial fibrillation and heart failure with reduced ejection fraction?
10.21019/qna-636140,Which of the following medications can cause torsades de pointes?
10.21019/qna-636141,Which of the following agents will decrease dabigatran concentrations when used concomitantly?
10.21019/qna-636142,Which of the following is a risk factor for developing torsades de pointes?
10.21019/qna-636143,Which of the following statements is true about the use of dronedarone?
10.21019/qna-636144,"A 68-year-old patient with a past medical history of atrial fibrillation, coronary artery disease, and diabetes presents to the clinic complaining of increased fatigue and lethargy. Laboratory studies are significant for increased levels of thyroid-stimulating hormone, suggesting hypothyroidism. The patient's medications include aspirin, carvedilol, metformin, lisinopril, amiodarone, and warfarin. Which of the patient's medications could be the cause of their hypothyroidism?"
10.21019/qna-636145,"A 70-year-old female with a past medical history of hypertension and diabetes is receiving enalapril, chlorthalidone, and metformin. She now presents to the emergency room with a 2-week history of palpitations, dizziness, and lightheadedness. The EKG reveals atrial fibrillation with a ventricular rate of 140 bpm. Her left ventricular ejection fraction is normal. Which of the following agents should be used to slow the ventricular rate in this patient?"
10.21019/qna-636146,"A 70-year-old female with a past medical history of hypertension and diabetes is receiving enalapril, chlorthalidone, and metformin. She now presents to the emergency room with a 2-week history of palpitations, dizziness, and lightheadedness. The EKG reveals atrial fibrillation with a ventricular rate of 140 bpm. Her left ventricular ejection fraction is normal. After controlling the ventricular rate, the medical team decides to leave the patient in atrial fibrillation and initiate appropriate therapy to reduce the risk of stroke. Which of the following is the optimal antithrombotic therapy for this patient?"
10.21019/qna-636147,Which of the following interventions should be used in the acute management of a patient who is hemodynamically unstable with atrial fibrillation?
10.21019/qna-636148,"A 81-year-old patient has a past medical history of myocardial infarction, hypertension, and diabetes and takes warfarin 3 mg daily to prevent thromboembolism. At the patient's routine clinic visit, their INR is noted to be 4.3 with no signs of bleeding. What is the most appropriate intervention for this patient?"
10.21019/qna-636149,"A 71-year-old patient presents to their primary care provider with a 2-week history of palpitations and feeling as if their ""heart is racing."" His past medical history is significant for hypertension, diabetes, heart failure (left ventricular ejection fraction of 30%), and atrial fibrillation. The patient’s medications include lisinopril, carvedilol, furosemide, glipizide, and warfarin. Their EKG shows atrial fibrillation with a ventricular rate of 120 bpm. Which of the following medications should be added to control the ventricular rate in this patient?"
10.21019/qna-636150,Which of the following laboratory tests is used to monitor the anticoagulant effect of dabigatran?
10.21019/qna-636151,Which of the following is responsible for phase 0 of the cardiac action potential?
10.21019/qna-636152,Which of the following statements is true regarding ventricular arrhythmias?
10.21019/qna-636153,Which of the following statements is true about dofetilide?
10.21019/qna-636154,"A 63-year-old woman is admitted to the hospital with a 3-week history of palpitations and shortness of breath. Her EKG shows atrial fibrillation with a ventricular rate of 120 bpm. Her past medical history is significant for hypertension, chronic kidney disease, hepatitis C, gout, hyperlipidemia, and hysterectomy. Which of the following conditions is a risk factor for stroke in this patient?"
10.21019/qna-636155,Which of the following statements is true about warfarin?
10.21019/qna-636156,Which of the following best describes how pioglitazone (Actos) works?
10.21019/qna-636157,Which of the following medications would you avoid using in a patient with a history of pancreatitis?
10.21019/qna-636158,A patient with type 2 diabetes is started on sitagliptin (Januvia). How much A1C reduction would you expect?
10.21019/qna-636159,"What is the recommended starting dose, in mg, of sitagliptin for a patient with an eGFR of 40 mL/min?"
10.21019/qna-636160,"Which of the following agents would be the safest to use in a female patient with congestive heart failure (class III), type 2 diabetes, chronic kidney disease (SCr 1.6, CrCl 35 mL/min), and ulcerative colitis?"
10.21019/qna-636161,What is the onset of action of rapid-acting insulin aspart (NovoLog)?
10.21019/qna-636162,"Pramlintide, which is used only as an adjunct to insulin therapy, should be avoided in a patient with which of the following?"
10.21019/qna-636164,Which of the following conditions are microvascular complications of diabetes? (Select ALL that apply.)
10.21019/qna-636165,Hyperosmolar hyperglycemic state is characterized as which of the following?
10.21019/qna-636166,How often should liraglutide (Victoza) be given?
10.21019/qna-636167,Which of the following agents should be used in a patient with type 1 diabetes?
10.21019/qna-636168,Which of the following agents can be given with or without food?
10.21019/qna-636169,"What is the duration of action of Human NPH (Novolin N, Humulin N) in hours?"
10.21019/qna-636170,What is the action peak of insulin lispro (Humalog)?
10.21019/qna-636171,"If someone experiences hypoglycemia while taking acarbose (Precose), what treatment would you recommend?"
10.21019/qna-636172,Which of the following are mechanisms of action of exenatide? (Select ALL that apply.)
10.21019/qna-636173,"How much A1C reduction, in %, would you expect with liraglutide (Victoza)?"
10.21019/qna-636174,Which of the following eGFR values would make the use of metformin contraindicated? (Select ALL that apply.)
10.21019/qna-636175,Which of the following A1C values corresponds to someone at risk for developing diabetes?
10.21019/qna-636176,Which of the following agents has the potential to decrease oral contraceptive effectiveness?
10.21019/qna-636177,Which of the following agents is indicated for both cholesterol and diabetes?
10.21019/qna-636179,Which of the following conditions is the most common adverse effect of bromocriptine (Cycloset)?
10.21019/qna-636180,Which of the following conditions contraindicates colesevelam (Welchol) for the treatment of diabetes?
10.21019/qna-636181,K. C. is a 52-year-old female reporting perimenopausal symptoms including hot flashes and mood swings. She has diabetes and hypertriglyceridemia. She has had no surgical procedures. Which of the following medications is the best choice for managing her symptoms?
10.21019/qna-636182,R. J. is a 48-year-old female interested in menopausal hormone therapy to control her vasomotor symptoms. She has had a total abdominal hysterectomy and has a history of breast cancer. Which of the following medications is most appropriate for her?
10.21019/qna-636183,"J. D. is a 53-year-old female experiencing severe hot flashes that are interfering with her job. She has an intact uterus, and her last menstrual cycle was 9 months ago. Which of the following medications are potential therapy options for J. D.? (Select ALL that apply.)"
10.21019/qna-636184,Concomitant use of which of the following drug may result in decreased pharmacologic effect of estrogen? (Select ALL that apply.)
10.21019/qna-636185,Which of the following conditions may be exacerbated by oral menopausal hormone therapy?
10.21019/qna-636186,"A. A. is a healthy 58-year-old female whose last menstrual cycle was 6 years ago. She has no surgical history. She is not experiencing any menopausal symptoms and denies hot flashes or genitourinary problems. She asks you if she should consider menopausal hormone therapy because many of her friends have been on it, and she has heard it is beneficial for your bones. Her DEXA scan revealed T scores of –0.8 in the spine and hip. Which treatment do you recommend?"
10.21019/qna-636187,Which of the following conditions is a contraindication to menopausal hormone therapy? (Select ALL that apply.)
10.21019/qna-636188,"Which of the following can occur with long-term combination menopausal hormone therapy, according to the Women's Health Initiative?"
10.21019/qna-636189,D. J. is a 22-year-old female who presents a new prescription to your pharmacy for carbamazepine. You notice she has regularly filled her Tri-Sprintec prescription for the past 2 years. What should you do?
10.21019/qna-636190,Which of the following contraceptives would you suggest for a patient who is one month postpartum and is currently breast-feeding?
10.21019/qna-636191,"A 22-year-old college student seeks your advice about her side effects from her new oral contraceptive. She complains of acne, oily hair, and irritability. Which of the following complications most likely explains her symptoms?"
10.21019/qna-636192,"S. W. is a 24-year-old female who just started taking a combination oral hormonal contraceptive 3 months ago. She is very adherent and takes her tablet each morning as soon as she wakes up. She does not eat breakfast. She reports that her menstrual cycle has been occurring on schedule and that her menstrual cramps are much less severe. Her last menstrual period was 2 weeks ago. However, she has been experiencing some nausea in the mornings. What is the most likely explanation for this?"
10.21019/qna-636193,Which oral contraceptive contains drospirenone?
10.21019/qna-636194,Which of the following medications is an extended-cycle oral contraceptive?
10.21019/qna-636195,Which of the following is an intrauterine contraceptive containing levonorgestrel?
10.21019/qna-636196,"A 39-year-old female with history of migraine and hypertension seeks your guidance regarding contraception. She is hoping to start an oral contraceptive today. She smokes a pack of cigarettes per day. Her blood pressure today is 160/95, and she takes lisinopril and hydrochlorothiazide for hypertension. Which of the following medications is the best choice for her?"
10.21019/qna-636197,"A 48-year-old female is buying calcium carbonate 500mg + vitamin D 200 units to prevent osteoporosis. Her physician recommended calcium 1,000 mg daily. How should you tell her to take the medication?"
10.21019/qna-636198,Which of the following medications is approved for osteoporosis treatment?
10.21019/qna-636199,Which of the following instructions is a correct patient counseling point for nasal calcitonin?
10.21019/qna-636200,LT is a 76-year-old female requesting a recommendation on daily intake of calcium and vitamin D from diet and supplements. What should you recommend?
10.21019/qna-636201,Which of the following conditions is a potential adverse effect of excessive calcium supplementation?
10.21019/qna-636202,Which of the following may cause osteoporosis?
10.21019/qna-636203,Which of the following drugs is an anabolic agent that is indicated for treatment of osteoporosis in high-risk patients and is contraindicated in patients with a history of bone cancer or radiation to the bone?
10.21019/qna-636204,Which daily calcium supplement would be best for a patient who is taking chronic omeprazole for severe gastroesophageal reflux disease?
10.21019/qna-636206,Which of the following agents is known to cause nephrocalcinosis?
10.21019/qna-636207,"A patient with normal kidney function (serum creatinine [SCr] 1.12 mg/dL, blood urea nitrogen [BUN] 21 mg/dL) is admitted to the hospital with severe sepsis. Labs repeated the next day show an SCr of 2.52 mg/dL and BUN of 46 mg/dL. On the basis of this information, how would that patient be classified according to the following RIFLE classifications for acute kidney injury?"
10.21019/qna-636208,Which of the following interventions have demonstrated consistent benefit in the management of acute kidney injury to warrant use in this patient population? (Select ALL that apply.)
10.21019/qna-636209,"A patient admitted to the hospital is diagnosed with acute kidney injury, although the exact cause is not yet known. Blood pressure is 150/100 mm Hg at this time. The patient’s medication list includes the following: lisinopril 5 mg daily, aliskiren 150 mg daily, acetaminophen 650 mg prn, ibuprofen 400 mg daily, prednisone 5 mg daily, albuterol inhaler prn, carvedilol 6.25 mg twice daily, and amlodipine 5 mg daily. Which of the following medications should be discontinued at this time because of the potential for nephrotoxicity?"
10.21019/qna-636210,"Nephrogenic systemic fibrosis is a rare but serious disorder that may involve fibrosis of the skin, joints, eyes, and internal organs. Which of the following agents has been linked to this disorder in patients with preexisting kidney disease?"
10.21019/qna-636211,"In which of the following patients, would it be appropriate to use the Cockcroft-Gault equation to estimate creatinine clearance?"
10.21019/qna-636212,"A hospitalized patient who has received 1 week of antibiotic therapy with piperacillin/tazobactam (Zosyn) has developed acute kidney injury, and his clinical presentation includes rash, fever, and eosinophils in the urine. Which of the following types of acute kidney injury is most suggested by this presentation?"
10.21019/qna-636213,Which of the following drug characteristics make a drug more likely to be removed by renal replacement therapy (dialysis)?
10.21019/qna-636214,A patient with AKI who is started on furosemide in an attempt to promote diuresis and reduce volume overload is at risk for which of the following?
10.21019/qna-636215,"In addition to angiotensin-converting enzyme inhibitors and angiotensin receptor blockers, which of the following agents has shown benefit in reducing proteinuria in patients with diabetic nephropathy and persistent proteinuria despite appropriate therapy?"
10.21019/qna-636216,Which of the following equations may be used to estimate kidney function in an adult patient with chronic kidney disease?
10.21019/qna-636217,"Erythropoietic stimulating agents (epoetin and darbepoetin), when dosed to achieve a target hemoglobin above 11 g/dL in patients with kidney disease not requiring dialysis, have been shown to increase the risk of which of the following?"
10.21019/qna-636218,Which of the following must occur for all patients with chronic kidney disease prior to receiving an outpatient prescription for erythropoietic stimulating agent (ESA)?
10.21019/qna-636219,Angiotensin-converting enzyme inhibitors and angiotensin receptor antagonists would be expected to cause which of the following within a few days after initiation of therapy in a patient with CKD?
10.21019/qna-636220,Which of the following ACEIs may be used to delay progression of kidney disease? (Select ALL that apply).
10.21019/qna-636221,The risk of hyperkalemia in a patient with stage 4 CKD would be greatest when ACEIs are combined with which of the following medications?
10.21019/qna-636222,Which of the following are problems with oral iron supplementation that often decrease patient adherence with therapy and may make this route of administration less effective than IV therapy? (Select ALL that apply).
10.21019/qna-636223,"If oral iron supplementation is initiated in a patient with CKD to treat iron deficiency, what is the appropriate daily target dose (in mg) of elemental iron?"
10.21019/qna-636224,Which of the following IV iron agents may interfere with magnetic resonance imaging studies performed within 3 months following administration?
10.21019/qna-636225,Which of the following describes how darbepoetin alfa differs from epoetin alfa?
10.21019/qna-636226,"A patient on hemodialysis is receiving antibiotics for a recently diagnosed infection. He also receives epoetin alfa 5,000 units with each dialysis and iron sucrose 50 mg per week as a maintenance dose of iron. His most recent labs show the following: hemoglobin (Hb) 10.8 g/dL, transferrin saturation (TSat) 25%, ferritin 650 mg/dL. Which of the following is an appropriate interpretation of these labs?"
10.21019/qna-636227,A patient with stage 4 CKD and a phosphorus level of 6.5 mg/dL is started on calcium acetate (PhosLo) three times daily as a phosphate binder. Which of the following should be part of patient counseling for this patient?
10.21019/qna-636228,Which of the following phosphate binders has been shown to decrease LDL cholesterol?
10.21019/qna-636229,Which of the following is a vitamin D agent and a prodrug that requires conversion to the active form in the liver?
10.21019/qna-636230,Which of the following is an adverse effect of cinacalcet (Sensipar) that may limit its use to treat secondary hyperparathyroidism?
10.21019/qna-636231,Which of the following methods is the most appropriate diagnostic tool for ICU delirium?
10.21019/qna-636233,"Which of the following medications may have its action potentiated (i.e., increased) by corticosteroids, aminoglycosides, or calcium channel blockers?"
10.21019/qna-636234,Which of the following characteristics is the most important benefit of a daily awakening and assessment period for patients on continuous sedation in the ICU?
10.21019/qna-636235,Propofol must be used with caution in patients with which of the following allergies?
10.21019/qna-636236,Which of the following is an advantage of sedation with dexmedetomidine over midazolam?
10.21019/qna-636237,"In patients with severe traumatic brain injuries, what threshold of intracranial pressure (ICP), in mmHg, warrants targeted interventions?"
10.21019/qna-636239,"A 65-year-old patient has been admitted for a lower-extremity deep venous thrombosis (DVT). The patient’s history includes a previous DVT 1 year ago, obesity, and lung cancer on chemotherapy. The patient has no known risk factors for bleeding. What is the most appropriate duration of therapy for treating the DVT?"
